8.100000e+00	5.784477e+00	4.475995e-01	5.250000e+02	8.100000e+00	5.854319e+00	4.434674e-01	5.460000e+02	8.100000e+00	5.913849e+00	4.325145e-01	5.300000e+02	8.100000e+00	6.045504e+00	3.905391e-01	4.490000e+02	8.100000e+00	6.074893e+00	3.948425e-01	3.250000e+02	8.100000e+00	6.058195e+00	4.139236e-01	1.670000e+02
8.299999e+00	5.901647e+00	3.926900e-01	4.350000e+02	8.299999e+00	5.994720e+00	3.296195e-01	4.580000e+02	8.299999e+00	6.023632e+00	3.411346e-01	5.050000e+02	8.299999e+00	6.096345e+00	3.186738e-01	4.370000e+02	8.299999e+00	6.105247e+00	3.097821e-01	3.100000e+02	8.299999e+00	6.171391e+00	2.605779e-01	1.660000e+02
8.500000e+00	6.030251e+00	3.788986e-01	3.990000e+02	8.500000e+00	6.091290e+00	3.424514e-01	4.390000e+02	8.500000e+00	6.153525e+00	3.348526e-01	4.900000e+02	8.500000e+00	6.241296e+00	2.812819e-01	4.310000e+02	8.500000e+00	6.289294e+00	2.868464e-01	3.100000e+02	8.500000e+00	6.325513e+00	2.403771e-01	1.650000e+02
8.700001e+00	6.153564e+00	4.184112e-01	3.050000e+02	8.700001e+00	6.274551e+00	3.431003e-01	3.590000e+02	8.700001e+00	6.326356e+00	3.103951e-01	3.980000e+02	8.700001e+00	6.418722e+00	2.644045e-01	3.510000e+02	8.700001e+00	6.477479e+00	2.040328e-01	2.420000e+02	8.700001e+00	6.490504e+00	2.319909e-01	1.320000e+02
8.900000e+00	6.276387e+00	4.542703e-01	2.940000e+02	8.900000e+00	6.411006e+00	3.680973e-01	3.140000e+02	8.900000e+00	6.505980e+00	2.943884e-01	3.360000e+02	8.900000e+00	6.581856e+00	2.376218e-01	2.840000e+02	8.900000e+00	6.645890e+00	2.199620e-01	1.980000e+02	8.900000e+00	6.658584e+00	2.222324e-01	8.200000e+01
9.100000e+00	6.435269e+00	3.863190e-01	2.360000e+02	9.100000e+00	6.550393e+00	3.909827e-01	2.650000e+02	9.100000e+00	6.662255e+00	3.178197e-01	2.550000e+02	9.100000e+00	6.748199e+00	2.879244e-01	2.240000e+02	9.100000e+00	6.819327e+00	2.850906e-01	1.120000e+02	9.100000e+00	6.900146e+00	2.045856e-01	4.400000e+01
9.299999e+00	6.642964e+00	4.437924e-01	2.690000e+02	9.299999e+00	6.793939e+00	4.174755e-01	2.440000e+02	9.299999e+00	6.853658e+00	3.813091e-01	2.320000e+02	9.299999e+00	6.992641e+00	2.675204e-01	1.490000e+02	9.299999e+00	7.044684e+00	1.362227e-01	7.800000e+01	9.299999e+00	7.042898e+00	2.086648e-01	2.000000e+01
9.500000e+00	6.830629e+00	3.703820e-01	2.850000e+02	9.500000e+00	6.958767e+00	3.512350e-01	2.640000e+02	9.500000e+00	7.063362e+00	3.196947e-01	2.190000e+02	9.500000e+00	7.179772e+00	2.405378e-01	1.250000e+02	9.500000e+00	7.270922e+00	1.826540e-01	3.300000e+01	9.500000e+00	7.276335e+00	1.564642e-01	1.100000e+01
9.700001e+00	7.084418e+00	4.469151e-01	2.940000e+02	9.700001e+00	7.172844e+00	4.120539e-01	2.990000e+02	9.700001e+00	7.275375e+00	4.276953e-01	2.280000e+02	9.700001e+00	7.447853e+00	3.021931e-01	8.700000e+01	9.700001e+00	7.434308e+00	2.117227e-01	3.100000e+01	9.700001e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.900000e+00	7.291350e+00	4.045045e-01	3.690000e+02	9.900000e+00	7.418777e+00	3.634440e-01	3.080000e+02	9.900000e+00	7.537362e+00	3.004253e-01	2.200000e+02	9.900000e+00	7.641078e+00	2.371992e-01	9.000000e+01	9.900000e+00	7.556635e+00	2.356711e-01	1.800000e+01	9.900000e+00	7.681247e+00	8.255209e-02	3.000000e+00
1.010000e+01	7.508582e+00	3.405848e-01	4.100000e+02	1.010000e+01	7.642429e+00	2.988154e-01	3.210000e+02	1.010000e+01	7.731702e+00	2.420663e-01	2.090000e+02	1.010000e+01	7.785659e+00	2.216925e-01	6.600000e+01	1.010000e+01	7.774236e+00	2.392522e-01	1.400000e+01	1.010000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.030000e+01	7.686029e+00	3.007828e-01	2.680000e+02	1.030000e+01	7.774162e+00	3.266983e-01	2.000000e+02	1.030000e+01	7.889686e+00	2.333144e-01	1.120000e+02	1.030000e+01	7.942990e+00	1.782895e-01	3.800000e+01	1.030000e+01	8.174366e+00	5.595589e-02	2.000000e+00	1.030000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+01	7.890080e+00	2.769417e-01	1.500000e+02	1.050000e+01	7.982903e+00	2.844908e-01	1.020000e+02	1.050000e+01	8.033700e+00	2.621147e-01	6.300000e+01	1.050000e+01	8.021327e+00	2.232315e-01	1.000000e+01	1.050000e+01	7.907746e+00	0.000000e+00	1.000000e+00	1.050000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.070000e+01	7.904188e+00	4.157009e-01	5.800000e+01	1.070000e+01	8.018952e+00	2.660609e-01	4.000000e+01	1.070000e+01	8.088070e+00	2.277211e-01	1.400000e+01	1.070000e+01	8.594403e+00	0.000000e+00	1.000000e+00	1.070000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.070000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.090000e+01	8.193421e+00	2.260022e-01	3.600000e+01	1.090000e+01	8.234571e+00	2.847100e-01	2.000000e+01	1.090000e+01	8.275026e+00	2.326794e-01	1.100000e+01	1.090000e+01	8.466010e+00	9.818459e-02	2.000000e+00	1.090000e+01	8.562683e+00	0.000000e+00	1.000000e+00	1.090000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.110000e+01	8.294369e+00	2.454140e-01	2.900000e+01	1.110000e+01	8.320820e+00	1.493163e-01	1.200000e+01	1.110000e+01	8.373931e+00	1.421068e-01	6.000000e+00	1.110000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.110000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.110000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.130000e+01	8.457878e+00	1.644285e-01	2.000000e+01	1.130000e+01	8.540555e+00	1.586232e-01	7.000000e+00	1.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.130000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+01	8.567648e+00	1.991758e-01	4.000000e+00	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.150000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.170000e+01	8.712475e+00	1.222076e-01	2.000000e+00	1.170000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.170000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.170000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.170000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.170000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.190000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.210000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.210000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.210000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.210000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.210000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.210000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.230000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.230000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.230000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.230000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.230000e+01	0.000000e+00	0.000000e+00	0.000000e+00	1.230000e+01	0.000000e+00	0.000000e+00	0.000000e+00
